82, 65, [water pump, PVC elbow joint, Ball valve, Pelton Wheel Turbine, PVC pipe outlet, motor, Bridge Rectifier Circuit, Supercapacitor, USB, ]


82, 65, [water pump, PVC elbow joint, Flow restrictor, Francis Turbine, Gravity-fed return system, motor, Bridge Rectifier Circuit, 18650 battery, USB, ]


82, 65, [water pump, PVC elbow joint, Flow restrictor, Francis Turbine, Gravity-fed return system, motor, Full-Wave Rectifier Circuit, Supercapacitor, USB, ]


82, 65, [water pump, PVC elbow joint, Ball valve, Francis Turbine, PVC pipe outlet, motor, Capacitor-Input Filter Circuit, Lithium-ion battery, USB, ]


82, 65, [water pump, PVC elbow joint, Flow restrictor, Francis Turbine, PVC pipe outlet, motor, Full-Wave Rectifier Circuit, Lithium-ion battery, USB, ]


82, 65, [water pump, PVC elbow joint, Ball valve, Kaplan Turbine, PVC pipe outlet, motor, Bridge Rectifier Circuit, 18650 battery, USB, ]


82, 65, [water pump, PVC elbow joint, Ball valve, Kaplan Turbine, PVC pipe outlet, motor, Full-Wave Rectifier Circuit, Supercapacitor, USB, ]


82, 66, [water pump, PVC elbow joint, Ball valve, Crossflow Turbine, Gravity-fed return system, motor, Bridge Rectifier Circuit, Supercapacitor, USB, ]


82, 66, [water pump, PVC elbow joint, Ball valve, Crossflow Turbine, PVC pipe outlet, motor, Bridge Rectifier Circuit, Lithium-ion battery, USB, ]


82, 67, [water pump, PVC elbow joint, Ball valve, Kaplan Turbine, Gravity-fed return system, motor, Capacitor-Input Filter Circuit, Supercapacitor, USB, ]


82, 67, [water pump, PVC elbow joint, Flow restrictor, Kaplan Turbine, Gravity-fed return system, motor, Bridge Rectifier Circuit, 18650 battery, USB, ]


82, 67, [water pump, PVC elbow joint, Flow restrictor, Kaplan Turbine, Gravity-fed return system, motor, Full-Wave Rectifier Circuit, Supercapacitor, USB, ]


82, 67, [water pump, PVC elbow joint, Flow restrictor, Kaplan Turbine, PVC pipe outlet, motor, Full-Wave Rectifier Circuit, Lithium-ion battery, USB, ]


82, 67, [water pump, PVC elbow joint, Flow restrictor, Francis Turbine, Gravity-fed return system, motor, Capacitor-Input Filter Circuit, Lithium-ion battery, USB, ]


82, 67, [water pump, PVC elbow joint, Flow restrictor, Pelton Wheel Turbine, Gravity-fed return system, motor, Bridge Rectifier Circuit, Supercapacitor, USB, ]


82, 67, [water pump, PVC elbow joint, Ball valve, Kaplan Turbine, PVC pipe outlet, motor, Capacitor-Input Filter Circuit, Lithium-ion battery, USB, ]


82, 67, [water pump, PVC elbow joint, Flow restrictor, Pelton Wheel Turbine, PVC pipe outlet, motor, Bridge Rectifier Circuit, Lithium-ion battery, USB, ]


82, 68, [water pump, Rubber tubing with clamps, Ball valve, Francis Turbine, Gravity-fed return system, motor, Full-Wave Rectifier Circuit, Lithium-ion battery, USB, ]


82, 68, [water pump, PVC elbow joint, Flow restrictor, Crossflow Turbine, Gravity-fed return system, motor, Bridge Rectifier Circuit, Lithium-ion battery, USB, ]


82, 68, [water pump, Adjustable hose nozzle, Ball valve, Francis Turbine, Gravity-fed return system, motor, Full-Wave Rectifier Circuit, Lithium-ion battery, USB, ]


82, 69, [water pump, PVC elbow joint, Flow restrictor, Kaplan Turbine, Gravity-fed return system, motor, Capacitor-Input Filter Circuit, Lithium-ion battery, USB, ]


82, 70, [water pump, PVC elbow joint, Inline water flow regulator, Pelton Wheel Turbine, Gravity-fed return system, motor, Full-Wave Rectifier Circuit, Lithium-ion battery, USB, ]


82, 70, [water pump, Rubber tubing with clamps, Ball valve, Kaplan Turbine, Gravity-fed return system, motor, Full-Wave Rectifier Circuit, Lithium-ion battery, USB, ]


82, 70, [water pump, Rubber tubing with clamps, Ball valve, Pelton Wheel Turbine, Gravity-fed return system, motor, Bridge Rectifier Circuit, Lithium-ion battery, USB, ]


82, 70, [water pump, Adjustable hose nozzle, Ball valve, Kaplan Turbine, Gravity-fed return system, motor, Full-Wave Rectifier Circuit, Lithium-ion battery, USB, ]


82, 70, [water pump, PVC elbow joint, Flow restrictor, Francis Turbine, PVC pipe outlet, motor, Bridge Rectifier Circuit, Supercapacitor, USB, ]


82, 70, [water pump, Adjustable hose nozzle, Ball valve, Pelton Wheel Turbine, Gravity-fed return system, motor, Bridge Rectifier Circuit, Lithium-ion battery, USB, ]


82, 70, [water pump, Flexible hose, Ball valve, Pelton Wheel Turbine, Gravity-fed return system, motor, Full-Wave Rectifier Circuit, Lithium-ion battery, USB, ]


